SessionID,ConceptA,ConceptB,xConceptA,yConceptB,xConceptB,yConceptB,Distance,NearestDistance,QstNr,QstDuration,ConceptClicksPerTest,RelativeDistance,NearestRelativeDistance
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Baum,Erde,628.0,209.0,468.0,291.0,179.78876494375282,60.03332407921454,1.0,42124.0,17.0,0.4088791387867461,0.19065789439521555
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Photosynthese,Erde,814.0,236.0,468.0,291.0,350.34411654828745,246.0,1.0,42124.0,17.0,0.7967594676902232,0.7812634522675372
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Lehrer,Erde,857.0,496.0,468.0,291.0,439.71126890267436,314.8745782053546,1.0,42124.0,17.0,1.0,1.0
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Fahrrad,Erde,597.0,593.0,468.0,291.0,328.39762483915746,223.8861317723811,1.0,42124.0,17.0,0.7468483253992859,0.7110327326151026
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Photosynthese,Baum,814.0,236.0,628.0,209.0,187.94946129212502,86.0,1.0,42124.0,17.0,0.42743835463021923,0.27312462152442357
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Lehrer,Baum,857.0,496.0,628.0,209.0,367.16481312892716,243.90571949013415,1.0,42124.0,17.0,0.8350134260720877,0.7746122944579664
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Fahrrad,Baum,597.0,593.0,628.0,209.0,385.24926995388324,304.0,1.0,42124.0,17.0,0.8761414528112862,0.965463778411916
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Lehrer,Photosynthese,857.0,496.0,814.0,236.0,263.53178176455305,180.0,1.0,42124.0,17.0,0.599329151654931,0.5716561845860029
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Fahrrad,Photosynthese,597.0,593.0,814.0,236.0,417.7774527185497,300.6958596322869,1.0,42124.0,17.0,0.9501176846368713,0.9549702657677857
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Fahrrad,Lehrer,597.0,593.0,857.0,496.0,277.50495491071865,160.90059042775448,1.0,42124.0,17.0,0.6311072163405063,0.5109989867864737
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Laub,Lehrer,480.0,304.0,733.0,492.0,315.2031091217217,187.27786842016332,2.0,33428.0,13.0,0.6868082978402313,0.5560733266692599
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Schule,Lehrer,900.0,489.0,733.0,492.0,167.0269439342048,67.0,2.0,33428.0,13.0,0.36394149593431635,0.19893921903923775
81fe4f74-6c76-4f7b-bfce-0ea0c21151b3,Erde,Lehrer,611.0,237.0,733.0,492.0,282.68179990936807,176.3774361986249,2.0,33428.0,13.0,0.6159463539783546,0.523707304679066
